Country,Name,Comparison Text,Family Office Fit Score,Family Office Fit Explanation,Permanent-Capital Orientation Score,Permanent-Capital Orientation Explanation,Governance & Institutional Mindset Score,Governance & Institutional Mindset Explanation,Engagement Readiness Score,Engagement Readiness Explanation,Sector Alignment Cosine,Sector Alignment Score,Strategic Adjacency Cosine,Strategic Adjacency Score,Total Score
Luxembourg,Arvo Investment Holdings,"Arvo Investment Holdings is a single-family office headquartered in Munsbach, Luxembourg, with an investment focus including alternative investments, financial services, and real estate & construction. It operates with a strategic commitment to stability and long-term capital preservation, typical of Luxembourg family offices. Alternative Investments Financial Services Real Estate & Construction",20,Clear - The prospect explicitly describes itself as a single-family office.,14,"Reasonably Clear - The prospect explicitly states a commitment to long-term capital preservation, but does not include multi-generational or stewardship language.",10,"Reasonably Clear - The prospect's commitment to stability and long-term capital preservation suggests an institutional mindset, with no speculative language.",0,Unclear - No evidence was provided for any pathway to engage the prospect.,0.3341,20.0,0.0893,0.18,64.18
Luxembourg,Bemberg Capital,"Bemberg Capital is a single-family office located in Luxembourg, with investments in alternative investments, financial services, industrials & manufacturing, and technology. It reflects the growing trend of Luxembourg SFOs engaging in direct private equity and venture capital deals with institutional-grade governance. Alternative Investments Financial Services Industrials & Manufacturing Technology",20,Clear - The prospect explicitly states it is a single-family office.,8,Ambiguous - There is no explicit evidence provided to assess the prospect's capital orientation.,15,"Clear - The prospect's description explicitly mentions ""institutional-grade governance"".",0,Unclear - No evidence is provided regarding a pathway to engage the prospect.,0.2478,5.32,0.1733,8.75,57.07
Luxembourg,Cube Infrastructure Managers,"Cube Infrastructure Managers is a Luxembourg-based independent asset manager specializing in European mid-market infrastructure. The firm manages funds focused on energy transition, telecoms & digital, transport & mobility, environment, and EV charging, aiming for stable yield and long-term capital appreciation by investing in essential infrastructure platforms. Energy Transition Telecoms & Digital Transport & Mobility Environment EV Charging Independent asset manager, General Partner / Management Company, Independent VC / PE Fund Manager. Aims for stable yield and long-term capital appreciation, investing in essential local infrastructure vital for society. Energy Transition, Telecoms & Digital, Transport & Mobility, Environment, EV Charging. Combines deep sector knowledge with operational and financial expertise to invest in, manage and grow essential European infrastructure platforms, creating value for investors and all stakeholders. Strong alignment with infrastructure, energy, logistics, and digital infrastructure corridors across Europe. Renaud de Matharel is the CEO and managing partner.",0,"Unclear - The prospect is described as an independent asset manager and fund manager, not a family office, private capital, HNWI, or family-controlled investment group.",14,"Reasonably Clear - The prospect explicitly states an aim for ""long-term capital appreciation"" but does not mention multi-generational or stewardship-oriented capital.",10,"Reasonably Clear - The prospect mentions ""creating value for investors and all stakeholders,"" which signals an institutional mindset and governance awareness.",7,"Reasonably Clear - A specific decision-maker, Renaud de Matharel (CEO and managing partner), is named, but no direct contact route is provided.",0.396,20.0,0.2716,15.0,66.0
Luxembourg,L-GAM,"L-GAM is a long-term investment firm established in partnership with the Princely Family of Liechtenstein. Its unique investor base consists of leading global entrepreneurial families, and it focuses on growing and building stronger businesses across Western Europe. Consumer Goods & Retail Computer & Consumer Electronics Business & Industrial Products Business & Industrial Services Consumer Services Energy & Environment Transportation Established in partnership with the Princely Family of Liechtenstein and has an investor base composed of leading global entrepreneurial families. Described as a 'long-term investment firm' with a shared vision of helping talented management teams grow their business and unlock value through operational and strategic initiatives. Energy & Environment, Transportation, Business & Industrial Products/Services, Computer & Consumer Electronics. Committed to good governance, society, and the environment, and is a signatory to the UN's Principles for Responsible Investment with an ESG policy. Direct investment in sectors like Energy & Environment and Transportation aligns with global trade and infrastructure corridor thesis. A direct email address, info@l-gam.com, is provided for contact.",14,"Reasonably Clear - The firm is established in partnership with a Princely Family and has an investor base of global entrepreneurial families, strongly implying a family-controlled investment group.",14,"Reasonably Clear - The firm explicitly describes itself as a ""long-term investment firm,"" but does not explicitly mention multi-generational or stewardship-oriented capital.",15,Clear - The firm explicitly states its commitment to good governance and is a signatory to the UN's Principles for Responsible Investment with an ESG policy.,7,"Reasonably Clear - A direct email address for contact is provided, but a named decision-maker is not specified.",0.3622,20.0,0.2375,15.0,85.0
Luxembourg,Arcus Infrastructure Partners,"Arcus Infrastructure Partners is an independent fund manager based in Luxembourg, investing in and managing European infrastructure assets. They provide long-term capital for sustainable development across digital, logistics & industrials, transport, and energy sectors. Digital Infrastructure Logistics & Industrials Transport Energy Telecoms Independent fund manager investing in European infrastructure assets, aligning with a permanent-capital private investment group. Provides long-term capital for sustainable development and creates more resilient businesses that help meet future infrastructure needs. Digital, Logistics & Industrials, Transport, Energy, Telecoms. Focuses on sustainability of the environment and prioritizes both strong performance and sustainability for enduring outcomes. Direct focus on infrastructure, digital, logistics, transport, and energy sectors across Europe strongly aligns with the corridor thesis. A dedicated investor relations email, investor.relations@arcusip.com, is provided.",0,"Unclear - The prospect is described as an independent fund manager, which does not fit the family office, private capital, HNWI, or family-controlled investment group profile.",14,"Reasonably Clear - The prospect explicitly states they provide long-term capital, but explicit multi-generational or stewardship language for capital is not present.",15,Clear - The prospect's focus on sustainability for enduring outcomes indicates a strong stewardship-oriented institutional mindset.,7,"Reasonably Clear - A direct investor relations email is provided as a contact route, but a named decision-maker is not.",0.4341,20.0,0.3853,15.0,71.0
Qatar,Al Faisal Holding,"Al Faisal Holding is a prominent Qatari family-owned conglomerate and family office, established in 1964. It manages a diversified portfolio across over 50 companies, with a strategic focus on long-term growth and expansion into sectors like technology, manufacturing, healthcare, and energy initiatives. Real Estate Hospitality Trading and Distribution Construction Education Services Technology Manufacturing Healthcare Energy Digital Infrastructure Al Faisal Holding operates as a Family Office and is a prominent private investment group in Qatar. Focuses on private equity-like capital deployment across strategic investments, aligning with its vision for long-term growth within Qatar's economy and beyond, and prioritizes long-term investments globally. Engaged in real estate, hospitality, trading and distribution, construction, education, services. Diversifying into technology, manufacturing, healthcare, and opportunities in Qatar's energy initiatives. Governance remains firmly in family hands, with a board and general assembly comprising Sheikh Faisal's relatives. Committed to maintaining high standards of corporate governance to enhance transparency and public confidence. Geographically, the firm's real estate portfolio is already global. Exploring technology (AI, fintech, cloud computing, telecommunications) and Qatar's energy initiatives (TAWTEEN) for private investors. Founder, Chairman, and CEO is H.E. Sheikh Faisal Bin Qassim Al Thani. Website: www.alfaisalholding.com. Phone number: +97444223830.",20,Clear - Al Faisal Holding is explicitly self-described as a prominent Qatari family-owned conglomerate and family office.,14,Reasonably Clear - The description mentions a strategic focus on long-term growth but does not explicitly state multi-generational or stewardship-oriented capital.,15,Clear - The prospect explicitly states a commitment to maintaining high standards of corporate governance to enhance transparency and public confidence.,10,"Clear - A named decision-maker (Founder, Chairman, and CEO) and direct contact routes (website and phone number) are provided.",0.2868,11.96,0.083,0.0,70.96
Qatar,Al Khor Holding W.L.L.,"Al Khor Holding is a Qatari family-owned investment and asset management company, serving as the modern investment arm of the Al Misnad Group, which originated in 1962. It manages a global investment portfolio across various sectors with a mission to achieve long-term financial goals for its stakeholders. Real Estate Power Generation Industrial & Manufacturing Hospitality Trading & Contracting Oil & Gas Financial Services Al Khor Holding is a Qatari-based company becoming the active side of an existing family business since 1962 (Al Misnad Group). Its mission is to add value with active portfolio management to assist stakeholders reach their long-term financial goals, with a vision for sustainable growth. Investment portfolio spans real estate, power generation, industrial & manufacturing, hospitality, trading & contracting, oil & gas, and financial services. The company focuses on enhancing governance and performance monitoring for the group's diverse operations and employs a disciplined strategy that emphasizes market analysis, risk assessment, and portfolio diversification. Exposure to power generation, industrial & manufacturing, trading & contracting, and oil & gas aligns with trade, infrastructure, and energy corridors. The investment portfolio extends globally. Email: info@alkhorholding.com. Key individuals include Ahmed Hakim (CEO) and Anggelos Skutaris (CIO).",20,"Clear - The description explicitly states it is a ""family-owned investment and asset management company"" and the ""modern investment arm of the Al Misnad Group.""",14,"Reasonably Clear - The company explicitly states a mission to achieve ""long-term financial goals,"" but does not explicitly mention multi-generational or stewardship language.",15,"Clear - The company explicitly focuses on ""enhancing governance and performance monitoring"" and employs a ""disciplined strategy"" with risk assessment and diversification.",10,"Clear - Named decision-makers (CEO, CIO) and a direct contact email address are provided.",0.2465,5.1,0.0872,0.0,64.1
Singapore,Temasek Holdings,"A Singaporean state-owned multinational investment firm established in 1974, managing a diversified global portfolio. It focuses on long-term value creation and invests in structural trends like Digitisation, Sustainable Living, Future of Consumption, and Longer Lifespans, demonstrating patient capital and governance discipline. Digitisation Sustainable Living Future of Consumption Longer Lifespans Consumer Media & Technology Life Sciences & Agri-Food Non-Bank Financial Services Infrastructure Energy-transition assets Digital infrastructure AI",0,"Unclear - The prospect is described as a 'state-owned multinational investment firm,' which does not align with the family office, private capital, HNWI, or family-controlled investment group profile.",14,"Reasonably Clear - The prospect focuses on 'long-term value creation' and 'patient capital,' indicating a long-term capital orientation.",15,"Clear - The prospect explicitly demonstrates 'governance discipline,' indicating a governance-aware institutional mindset.",0,Unclear - No evidence regarding specific decision-makers or direct contact routes is provided.,0.4002,20.0,0.2632,15.0,64.0
Singapore,GIC Private Limited,"Singaporean sovereign wealth fund established in 1981 to manage the country's foreign reserves. GIC focuses on long-term investments across a wide range of asset classes globally, with a mission to achieve good long-term returns above global inflation over an investment horizon of 20 years, demonstrating patient capital and strong governance. Public equity Fixed income Private equity Real estate Infrastructure Venture capital Emerging market equities Logistics",0,"Unclear - The prospect is a sovereign wealth fund, which does not fit the specified family office or private capital profile, and the 'Core fit evidence' explicitly states 'None'.",8,"Ambiguous - The dedicated 'Capital orientation evidence' section explicitly states 'None,' leading to an absence of specific evidence for long-term or multi-generational capital.",5,"Ambiguous - The dedicated 'Governance evidence' section explicitly states 'None,' indicating no specific evidence for a governance-aware institutional mindset.",0,"Unclear - The dedicated 'Engagement readiness evidence' section explicitly states 'None,' meaning no pathway to engagement was found.",0.3352,20.0,0.2362,15.0,48.0
Singapore,Wee Investments,"Wee Investments is the principal investment vehicle of the Wee family, founders of United Overseas Bank (UOB). As one of Singapore's largest single-family office operations by AUM, it holds financial services, real estate, and private markets assets across Asia, with a focus on long-duration public equities. Financial services Real estate Private equity Public equities",20,Clear - The prospect explicitly self-describes as the principal investment vehicle of a family and one of Singapore's largest single-family office operations.,14,"Reasonably Clear - The prospect's focus on long-duration public equities indicates a long-term orientation, though multi-generational or stewardship language is not explicitly present.",10,"Reasonably Clear - The prospect's identity as a large family office associated with a major bank suggests an institutional mindset, though explicit governance language is absent.",0,Unclear - No engagement readiness evidence was provided to identify a pathway or named decision-maker.,0.2291,2.14,0.1566,7.05,53.19
Singapore,Pontiac Land Group,"A privately held conglomerate founded in 1961 by the Kwee family, specializing in luxury property development, hospitality, and investment properties. Pontiac Land Group takes a long-term view on its real estate developments and investments, prioritizing quality, sustainability, and thoughtful architecture and design. Luxury real estate Hospitality Commercial property Retail property Residential property Medical office properties Property development Long-term asset management",14,Reasonably Clear - The description of a privately held conglomerate founded by a family strongly implies a family-controlled investment group.,14,"Reasonably Clear - The prospect explicitly states a ""long-term view"" but lacks explicit multi-generational or stewardship language.",5,Ambiguous - There is no explicit governance or institutional language provided in the evidence.,0,Unclear - No evidence was provided regarding a realistic pathway to engage the prospect.,0.1528,0.0,0.1038,1.66,34.66
Singapore,K3 Ventures,"K3 Ventures is a Singapore-based venture capital firm founded in 2015 by Kuok Meng Xiong, grandson of tycoon Robert Kuok. It invests in early-stage technology startups across various sectors in Southeast Asia, providing capital, operational support, and mentorship, leveraging a 'bamboo network' for strategic scaling and long-term growth. Technology Agtech Consumer services Edtech SaaS Healthcare Fintech IoT E-commerce Enterprise solutions Web3 AI",14,"Reasonably Clear - The firm was founded by Kuok Meng Xiong, grandson of tycoon Robert Kuok, strongly implying a family-controlled investment group.",14,Reasonably Clear - The description explicitly mentions 'long-term growth' but lacks multi-generational or stewardship language for capital orientation.,10,"Reasonably Clear - As a venture capital firm providing operational support and mentorship to early-stage startups, it suggests an institutional approach despite no explicit governance language.",7,"Reasonably Clear - The founder and decision-maker, Kuok Meng Xiong, is named, but no specific direct contact route is provided.",0.2236,1.21,0.1718,8.6,54.81
Singapore,Tecity Group,"Tecity Group is a Singapore-based single-family office with roots in the 1970s, managing wealth across a balanced public and private markets portfolio. The firm received an EY Family Office Excellence award in 2024 for governance, reflecting its institutional-quality infrastructure and professional investment management. Family governance and multi-generational wealth preservation are core mandates alongside investment return. Public Equities Private Equity Real Estate Fixed Income",20,Clear - The prospect is explicitly described as a Singapore-based single-family office.,20,"Clear - Multi-generational wealth preservation is explicitly stated as a core mandate, indicating a long-term orientation.",15,Clear - The firm received an award for governance and explicitly mentions institutional-quality infrastructure and family governance as a core mandate.,0,Unclear - No evidence was provided regarding engagement readiness or a contact pathway.,0.155,0.0,0.1285,4.18,59.18
Switzerland,Jacobs Holding AG,"Jacobs Holding AG is a family-owned Swiss investment holding company headquartered in Zurich. It operates as an evergreen investor, deploying private family capital without fixed horizons, and focuses on long-term value creation. Its private equity arm, Jacobs Capital AG, targets majority stakes in high-performing European companies. Business Services Consumer Education Healthcare Infrastructure Technology Jacobs Holding AG is a family-owned Swiss investment holding company and operates Jacobs Capital AG as its private equity arm. Operates as an evergreen investor, deploying private family capital without fixed horizons, focused on long-term growth and value creation. Stated sectors include Business Services, Consumer, Education, Healthcare. Lists 'Infrastructure' as a transaction type and 'Technology bets' as an investment thesis. Emphasizes a family ethos of agility, integrity, and entrepreneurial partnership, with principled leadership for generations to come. Headquartered in Zurich, Switzerland, with a pan-European investment focus. Exposure to Business Services (logistics/digital infrastructure potential), and Infrastructure/Technology as transaction/investment types. Direct contact email available: info@jacobscap.com.",20,Clear - The prospect explicitly describes itself as a family-owned Swiss investment holding company.,20,"Clear - The prospect explicitly describes itself as an evergreen investor deploying private family capital without fixed horizons, focused on long-term value creation.",15,"Clear - The prospect emphasizes principled leadership and a family ethos for generations to come, indicating a strong governance-aware mindset.",7,"Reasonably Clear - A direct contact email is available, but a named decision-maker is not provided.",0.2692,8.96,0.037,0.0,70.96
Switzerland,Lombard Odier,"Lombard Odier is an independent Geneva-based Swiss private bank and asset manager, serving wealthy international families, family offices, and institutional investors. The firm offers comprehensive wealth management and investment solutions with a strong emphasis on private assets. Private Equity Private Debt Real Estate Infrastructure Clean Energy Transition Digital Infrastructure AI Self-describes as a Swiss Private Bank and independent wealth/asset manager for private and institutional clients, explicitly serving 'wealthy international families/family office'. Focuses on 'long-term investment strategy', 'patient investors due to lower liquidity', and aims to 'preserve, grow and transfer wealth to future generations'. Core focus areas include 'private equity, private debt, real estate, and infrastructure', with emphasis on 'clean energy transition, and the growth of digital infrastructure'. Highlights '225 years of stability' and 'agile responses to changing economic and political conditions', alongside a 'rigorous approach to selection' in private assets. Headquartered in Geneva, with strong, stated focus on infrastructure, clean energy, and digital infrastructure relevant to global corridors. No direct generic contact email (e.g., info@ or ir@) found in provided search snippets.",20,Clear - The prospect explicitly states it serves wealthy international families and family offices.,20,Clear - The prospect focuses on a long-term investment strategy and aims to preserve and transfer wealth to future generations.,15,"Clear - The prospect highlights 225 years of stability and a rigorous approach to selection, indicating an institutional mindset.",0,Unclear - No direct generic contact email or specific engagement pathway was found in the provided evidence.,0.3278,18.93,0.2375,15.0,88.93
Switzerland,Swiss Family Partners,"Swiss Family Partners is an owner-operated Multi-Family Office in Switzerland. They co-invest their own capital alongside clients across real assets, structured finance, and direct investments, focusing on long-term growth and entrepreneurial values. Real Estate Equity Stakes Digital Assets AI Robotics Health Solutions Explicitly self-describes as an 'owner-operated Multi-Family Office' and 'independent Swiss family office'. States 'Built for the long term. Structured with discipline.', 'think and act as co-investors with a long-term focus' in real estate, and highlights a 'long-term vision' for mid-sized businesses. Core investment areas are 'Real Estate Portfolio', 'Equity Stakes and Financing', and 'Digital Assets'. Also emphasizes 'AI and robotics' as important investment areas. Highlights being 'Structured with discipline', 'Rooted in Family Values. Driven by Entrepreneurship', and having 'Seasoned leaders, clear responsibilities'. Swiss-based, with exposure to Real Estate, Digital Assets, AI, and Robotics, which are adjacent to digital infrastructure and industrial platforms. Direct contact email available: info@swiss-fp.com, along with individual founder emails.",20,"Clear - The prospect explicitly self-describes as an ""owner-operated Multi-Family Office"" and an ""independent Swiss family office"".",20,"Clear - The prospect explicitly states a ""long-term"" focus and is an ""owner-operated Multi-Family Office"" rooted in ""Family Values,"" which implies a multi-generational stewardship of capital.",15,"Clear - The prospect highlights being ""Structured with discipline,"" ""Rooted in Family Values,"" and having ""Seasoned leaders, clear responsibilities,"" all indicating a governance-aware institutional mindset.",10,"Clear - Direct contact emails are available, including general and individual founder emails, indicating named decision-makers and a direct contact route.",0.3098,15.87,0.0875,0.0,80.87
United Arab Emirates,AlNowais Investments,"AlNowais Investments is a UAE-based single-family office and investment holding company headquartered in Abu Dhabi. It manages a diversified portfolio of subsidiaries across various sectors in the MENA region and beyond, with a focus on strategic investments in high-growth industries like energy and infrastructure. Energy Infrastructure Engineering and Construction Oilfield Services Healthcare Communication Systems and Technology Real Estate Hospitality explicitly self-describes as a 'single-family office and investment holding company' emphasizes 'long-term value creation through disciplined capital deployment and operational oversight' focuses on 'energy and infrastructure project development' and 'strategic principal investments in businesses in select industries that exhibit exceptional potential for growth and expansion' 'adhering to the highest standards in investment' and 'disciplined capital deployment and operational oversight' headquartered in Abu Dhabi and active in MENA region, with exposure to energy and infrastructure, aligns with global trade and energy corridors Hussain Al Nowais (founder) and Ahmed Nasser Al Nowais (CEO of Annex Investments, a hybrid venture SFO) are named individuals; website has 'Contact Us' section",20,Clear - The prospect explicitly describes itself as a single-family office.,8,"Ambiguous - There is no explicit language or evidence provided regarding long-term, patient, multi-generational, or stewardship-oriented capital.",15,"Clear - The prospect uses explicit language such as ""highest standards in investment"" and ""disciplined capital deployment and operational oversight,"" indicating a strong governance-aware mindset.",10,"Clear - Named decision-makers are identified, and a direct contact route is available via their website's ""Contact Us"" section.",0.358,20.0,0.1692,8.33,81.33
United Arab Emirates,Al Fardan Holding,"Al Fardan Holding is one of the region's respected family-owned business groups, operating across diverse sectors including Luxury, Energy, Mobility, Real Estate, Technology, and Digital. Its strategic family office arm, Al Fardan Ventures, focuses on direct and co-investments in frontier technology sectors. Fintech AI SpaceTech Quantum Computing Green Energy Real Estate Technology Digital Infrastructure Web3 & Decentralised Finance Enterprise SaaS & Infrastructure 'Al Fardan Holding is one of the region's most respected business groups'; 'Al Fardan Ventures is the strategic family office of Al Fardan Holding' 'A foundation built on integrity, discipline, and permanent value creation.'; 'We invest with a 10–20 year view'; 'Our family office structure enables patient capital deployment without the constraints of traditional fund cycles' deploy capital 'at the frontier of AI, SpaceTech, and the Digital Economy' and 'Green Energy & CleanTech' and 'Enterprise SaaS & Infrastructure' 'built on institutional-grade governance and a relentless commitment to excellence'; 'maintaining a strong commitment to governance, integrity, and stakeholder value' UAE as a strategic launchpad into the MENA region, investing in critical infrastructure for future-ready economies Mohamed Al Fardan is a named Managing Director and Chairman of investment entities; contact email 'info@alfardan.co' is provided",20,"Clear - The prospect is explicitly described as a ""family-owned business group"" with a ""strategic family office arm.""",8,"Ambiguous - There is no explicit evidence provided regarding long-term, patient, multi-generational, or stewardship-oriented capital.",15,"Clear - The prospect explicitly mentions being ""built on institutional-grade governance"" and maintaining a ""strong commitment to governance, integrity, and stakeholder value.""",10,"Clear - A named decision-maker and a direct contact email are provided, indicating a clear pathway to engagement.",0.3137,16.53,0.2027,11.75,81.28
