Region,Country,City,Organisation,Prospect Category,HQ / Primary Geography,Address / Office Location,Family / Founder / Strategic Nature,Known Sector Themes,TBP / Regional Corridor Relevance,Possible TBP Entry Point,Recommended Contact Route,Assigned Lead,Family Office Fit (20),Permanent Capital (20),Sector Alignment (20),Governance Mindset (15),Strategic Adjacency (15),Engagement Readiness (10),Total Score,Classification,Priority,Pipeline Stage,Scoring Status,Public Source URLs,Notes / Diligence Flags,Email address,Contact Email Status,Contact Email Source URLs,Contact Email Notes,Contact Enrichment Date,Source File,Alternate Names
Central Asia,Kazakhstan,,Visor Group / Visor Capital,Investment group / investment bank channel,Kazakhstan,,Investment group / investment bank channel,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Financial services / private capital / investment,CIS market investment bank and potential adviser/transaction channel.,Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / public contact route / adviser introduction,Tharushi / Capital Advisory Team,12,14,14,10,10,6,66,Strong Potential Prospect,Channel,Identified,Indicative scored – review required,https://www.swfinstitute.org/profile/5e39a4a4fcbe7e8ca71b73dc,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",info@visorcapital.com; back.office@visorcapital.com; trading@visorcapital.com; research@visorcapital.com,Official public email - verify before outreach,https://www.visorcapital.com/contact-us/,Use general info first; avoid trading/research contacts unless relevant.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Central Asia,Kazakhstan,,Almex Holding / Kulibayev family-linked holding,Family-linked holding / strategic capital,Kazakhstan,,Family-linked holding / strategic capital,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Financial services / private capital / investment,Linked publicly to Halyk Bank shareholding and Kulibayev family; high-value but sensitive.,Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Legal/compliance review first; then adviser-led or warm-introduction route only,Tharushi / Capital Advisory Team,17,12,13,8,9,5,64,Monitor / Secondary Prospect,Monitor / EDD,Identified,Indicative scored – review required,https://halykbank.com/news/halyk-bank-provides-information-regarding-announcement-of-holding-group-almex,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: High / PEP diligence | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",info@almex.kz; info@almex-holding.kz,Official/public email - enhanced diligence,https://kase.kz/en/issuers/ALMX/ | https://publicreg.myafsa.com/,Enhanced diligence / politically exposed and ownership-sensitivity review before any approach.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Central Asia,Kazakhstan / Singapore,Almaty,Kusto Group / Yerkin Tatishev,Diversified industrial holding,Almaty / Singapore,,Diversified industrial holding,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development; Energy / renewables / industrial infrastructure,"Agribusiness, energy, construction materials and global industrial investment relevance.",Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / corporate development / adviser introduction / sector forum,Tharushi / Capital Advisory Team,15,15,16,11,11,6,74,Strong Potential Prospect,Priority,Identified,Indicative scored – review required,https://www.kustogroup.com/,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source",info@kustogroup.com,Official/public email - verify before outreach,https://www.kustogroup.com/,Use institutional/general route; verify current group contact before outreach.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx; TBP_UZ-KZ_Independent_Corridor_Investor_Longlist.xlsx,Kusto Group
Central Asia,Uzbekistan,Tashkent,Orient Group,Private investment group / diversified conglomerate,Tashkent,,Private investment group / diversified conglomerate,"Logistics, warehousing, real estate, hospitality, industry, retail","Major private investor in Uzbekistan across banking, construction, agriculture, logistics, real estate and industry.",Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / LinkedIn / logistics partnerships,Tharushi / Capital Advisory Team,18,15,20,11,14,8,86,Priority Founding Steward Prospect,Priority / EDD,Identified,Indicative scored – review required,https://uz.linkedin.com/company/orient-group,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: High / PEP diligence | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",No public email found - use official website/LinkedIn/warm introduction route,No public email identified,https://uz.linkedin.com/company/orient-group,Enhanced diligence recommended due to opacity and political-exposure sensitivity.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Central Asia,Uzbekistan,Tashkent,Artel Electronics / AKFA Group / Jahongir Artikkhodjaev-linked ecosystem,Founder-led industrial and manufacturing group,Tashkent,,Founder-led industrial and manufacturing group,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Manufacturing / food / agribusiness / consumer,Central Asia manufacturing/export capability; industrial/logistics/trade relevance.,Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Legal/compliance review first; then adviser-led or warm-introduction route only,Tharushi / Capital Advisory Team,18,15,19,11,13,7,83,Priority Founding Steward Prospect,Priority / EDD,Identified,Indicative scored – review required,https://www.prnewswire.co.uk/news-releases/artel-becomes-first-private-uzbek-manufacturing-company-to-obtain-credit-rating-819503156.html,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: High / PEP diligence | Source type: Public website / public source",info@akfaaluminium.com; info@artelelectronics.com,Official public email - verify before outreach,https://akfaaluminium.com/ | https://www.artelelectronics.com/,Use company-level route; enhanced diligence for political exposure and ownership context.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx; TBP_UZ-KZ_Independent_Corridor_Investor_Longlist.xlsx,AKFA Group; Artel Electronics
Central Asia,Uzbekistan,Tashkent,Murad Buildings / Murad Nazarov,Founder-led real estate developer,Tashkent,,Founder-led real estate developer,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development,Real estate and urban development fit for TBP trade-city/corridor thinking.,Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / corporate development / adviser introduction / sector forum,Tharushi / Capital Advisory Team,13,13,15,11,10,6,68,Strong Potential Prospect,Priority,Identified,Indicative scored – review required,https://compass.uz/en/clients/murad-building,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source",pr@mbc.uz,Official/public email - verify before outreach,https://mbc.uz/contacts/ | https://compass.uz/en/clients/murad-building,PR contact; verify strategic partnership route before any capital advisory discussion.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx; TBP_UZ-KZ_Independent_Corridor_Investor_Longlist.xlsx,Murad Buildings
Central Asia,Uzbekistan,Tashkent,Henley & Partners Uzbekistan,Private client / HNWI advisory channel,Tashkent,,Private client / HNWI advisory channel,Family office services / private wealth / stewardship; Logistics / ports / trade corridors,Access route to internationally mobile HNWIs and family capital.,Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / public contact route / adviser introduction,Tharushi / Capital Advisory Team,12,14,14,10,10,6,66,Strong Potential Prospect,Channel,Identified,Indicative scored – review required,https://www.henleyglobal.com/contact/office-uzbekistan,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",Contact form / office route; no direct email captured,Official contact route only,https://www.henleyglobal.com/contact/office-uzbekistan,Private-client adviser route; use official contact form and avoid scraping personal emails.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Central Asia,Uzbekistan,Tashkent,Tashkent International Financial Center ecosystem,Emerging financial centre / future family-office channel,Tashkent,,Emerging financial centre / future family-office channel,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Financial services / private capital / investment,"Strategic route for future family-office, tax-zone and green finance conversations.",Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / corporate development / adviser introduction / sector forum,Tharushi / Capital Advisory Team,10,14,15,10,11,6,66,Strong Potential Prospect,Gateway,Identified,Indicative scored – review required,https://www.reuters.com/world/asia-pacific/uzbek-president-pledges-continued-reforms-tax-free-zone-tashkent-forum-2026-06-17/,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",No public email found - use government / conference / official financial-centre route,No public email identified,https://www.reuters.com/world/asia-pacific/uzbek-president-pledges-continued-reforms-tax-free-zone-tashkent-forum-2026-06-17/,"Strategic ecosystem route, not a family office. Use policy/forum channels.",7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Southeast Asia,Indonesia,Jakarta,CT Corp / Chairul Tanjung family,Family-controlled conglomerate,Jakarta,,Family-controlled conglomerate,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development; Financial services / private capital / investment,"Financial services, media, retail, hospitality, entertainment, property and lifestyle.",Indonesia / Southeast Asia Neutral Trade Corridor; Family Office Circle,Website / corporate development / adviser introduction / sector forum,Irene,18,17,18,12,13,7,85,Priority Founding Steward Prospect,Priority,Identified,Indicative scored – review required,https://www.ctcorpora.com/who.html,"Confirm current ownership, regional presence and appropriate adviser route before approach. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",No public email found - use official website/corporate route or warm introduction,No public email identified,https://www.ctcorpora.com/who.html,Use warm introduction or corporate office route; do not rely on unverified third-party emails.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Southeast Asia,Indonesia,Jakarta,Gunung Sewu Group / Angkosubroto family,"Family-run group / food, insurance, property, manufacturing",Jakarta,,"Family-run group / food, insurance, property, manufacturing",Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development; Manufacturing / food / agribusiness / consumer,"Food, insurance, property and manufacturing; generational stewardship fit.",Indonesia / Southeast Asia Neutral Trade Corridor; Family Office Circle,Website / corporate development / adviser introduction / sector forum,Irene,18,17,18,12,13,7,85,Priority Founding Steward Prospect,Priority,Identified,Indicative scored – review required,https://www.gunungsewu.com/,"Confirm current ownership, regional presence and appropriate adviser route before approach. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",Contact form / phone route; sahabat.anda@gunungsewu.com is compliance/concerns only,Purpose-limited email / contact route,https://www.gunungsewu.com/contact-us/ | https://www.gunungsewu.com/code-of-conduct/,Do not use compliance/whistleblowing email for investor outreach. Use corporate contact route or adviser introduction.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Southeast Asia,Indonesia,Jakarta / Hong Kong-linked,Salim Group / First Pacific / Indofood ecosystem,Family-controlled conglomerate / listed holding exposure,Jakarta / Hong Kong-linked,,Family-controlled conglomerate / listed holding exposure,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development; Manufacturing / food / agribusiness / consumer,"Food supply chains, retail, infrastructure, telecom and regional trade.",Indonesia / Southeast Asia Neutral Trade Corridor; Family Office Circle,Website / corporate development / adviser introduction / sector forum,Irene,18,17,18,12,13,7,85,Priority Founding Steward Prospect,Priority,Identified,Indicative scored – review required,https://www.firstpacific.com/about/management.php,"Confirm current ownership, regional presence and appropriate adviser route before approach. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",johnryan@firstpacific.com; saracheung@firstpacific.com,Official public corporate communications emails,https://www.firstpacific.com/contact.php | https://www.firstpacific.com/media/contact.php,First Pacific corporate communications / media contacts; use for institutional introduction only if appropriate.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Southeast Asia,Indonesia,Jakarta,Saratoga Investama Sedaya,Active investment company / strategic private capital,Jakarta,,Active investment company / strategic private capital,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development; Energy / renewables / industrial infrastructure,"Healthcare, digital infrastructure, green economy, energy, specialty logistics and strategic private capital.",Indonesia / Southeast Asia Neutral Trade Corridor; Family Office Circle,Website / public contact route / adviser introduction,Irene,18,17,18,12,13,7,85,Priority Founding Steward Prospect,Priority,Identified,Indicative scored – review required,https://saratoga-investama.com/,"Confirm current ownership, regional presence and appropriate adviser route before approach. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",info@saratoga-investama.com; investor.relations@saratoga-investama.com; corporate.secretary@saratoga-investama.com,Official public email,https://saratoga-investama.com/contact/ | https://saratoga-investama.com/investor-relations/contact-us/,Strong direct corporate/investor relations route.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Southeast Asia,Indonesia,Jakarta,Triputra Group / Theodore Rachmat family,Family-controlled holding company,Jakarta,,Family-controlled holding company,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Manufacturing / food / agribusiness / consumer,"Industrial holding with relevance to logistics, manufacturing and long-term enterprise capital.",Indonesia / Southeast Asia Neutral Trade Corridor; Family Office Circle,Website / corporate development / adviser introduction / sector forum,Irene,18,17,18,12,13,7,85,Priority Founding Steward Prospect,Priority,Identified,Indicative scored – review required,https://triputra-group.com/en/tentang-kami/profil/,"Confirm current ownership, regional presence and appropriate adviser route before approach. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",No general public email found; wbs@triputra-group.com is whistleblowing only,Purpose-limited email / contact route,https://www.triputra-group.com/en/contact-us/ | https://www.triputra-group.com/en/whistleblowing-system/,Do not use whistleblowing email for outreach. Use corporate contact page/phone or warm intro.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Southeast Asia,Indonesia,Jakarta,Barito Pacific / Barito Renewables / Prajogo Pangestu family,"Family-controlled energy, petrochemical and renewables group",Jakarta,,"Family-controlled energy, petrochemical and renewables group",Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development; Energy / renewables / industrial infrastructure,"Energy, petrochemical, power, renewables and infrastructure relevance.",Indonesia / Southeast Asia Neutral Trade Corridor; Family Office Circle,Legal/compliance review first; then adviser-led or warm-introduction route only,Irene,18,17,18,10,13,6,82,Priority Founding Steward Prospect,Priority,Identified,Indicative scored – review required,https://www.barito-pacific.com/newsroom/official-statement-from-barito-pacific-group,"Confirm current ownership, regional presence and appropriate adviser route before approach. | Risk level: Enhanced diligence | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",corpsec@barito.co.id; corpsec@baritorenewables.co.id,Official public corporate secretary emails,https://www.barito-pacific.com/contact | https://www.baritorenewables.co.id/investor-relations/contact-us,Good official company route; enhanced diligence for energy/market sensitivity.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Southeast Asia,Indonesia,Jakarta / Kudus,Hartono Family Office / Djarum Group / GDP Venture,Single-family office / family-controlled conglomerate / venture arm,Jakarta / Kudus,,Single-family office / family-controlled conglomerate / venture arm,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development; Technology / digital infrastructure / venture,"Banking, technology, real estate and diversified holdings; major Indonesia private capital target.",Indonesia / Southeast Asia Neutral Trade Corridor; Family Office Circle,Website / investor relations / ecosystem introduction,Irene,14,17,18,12,13,7,81,Priority Founding Steward Prospect,Priority,Identified,Indicative scored – review required,https://www.reuters.com/world/asia-pacific/indonesian-billionaire-michael-bambang-hartono-dies-86-2026-03-20/,"Confirm current ownership, regional presence and appropriate adviser route before approach. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",No public email found - use GDP Venture legal/contact page or warm introduction,No public email identified,https://www.gdpventure.com/contact-us/ | https://www.gdpventure.com/legal-contact/,Use warm introduction or official contact route; avoid third-party personal emails.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Southeast Asia,Indonesia,Jakarta / Singapore-linked,Widjaja Family Investment Office / Sinar Mas Group / SMDV,Single-family office / family investment office / conglomerate venture arm,Jakarta / Singapore-linked,,Single-family office / family investment office / conglomerate venture arm,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development; Energy / renewables / industrial infrastructure,"Agribusiness, real estate, paper, telecom, energy, infrastructure and healthcare.",Indonesia / Southeast Asia Neutral Trade Corridor; Family Office Circle,Website / investor relations / ecosystem introduction,Irene,14,17,18,12,13,7,81,Priority Founding Steward Prospect,Priority,Identified,Indicative scored – review required,https://www.preqin.com/data/profile/investor/widjaja-family-investment-office/521155,"Confirm current ownership, regional presence and appropriate adviser route before approach. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",care@sinarmas.org,Official public group contact email,https://www.sinarmas.com/en/contact-us/ | https://smdv.com/,Use Sinar Mas general contact or SMDV route; verify right contact before approach.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,SMDV — Sinar Mas Digital Ventures
Southeast Asia,Indonesia,Jakarta,Lippo Group / Riady family / Venturra Capital,Family-controlled conglomerate / venture platform,Jakarta,,Family-controlled conglomerate / venture platform,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development; Technology / digital infrastructure / venture,"Real estate, healthcare, retail, financial services, education and Southeast Asia technology.",Indonesia / Southeast Asia Neutral Trade Corridor; Family Office Circle,Legal/compliance review first; then adviser-led or warm-introduction route only,Irene,14,17,18,10,13,6,78,Strong Potential Prospect,Priority,Identified,Indicative scored – review required,https://lippogroup.com/,"Confirm current ownership, regional presence and appropriate adviser route before approach. | Risk level: Enhanced diligence | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",corsec@lippokarawaci.co.id,Official public corporate secretary email,https://www.lippokarawaci.co.id/en/investor-relations/contact-us,Use corporate secretary/IR route where relevant; verify Venturra route separately for VC discussions.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
